step	pred	loss
1.000000000000000000e+00	6.989940613999320362e+01	1.040222358703613281e+01
3.400000000000000000e+01	1.292299477245241768e+01	9.605319976806640625e+00
6.800000000000000000e+01	9.223954886391291907e+00	8.616765022277832031e+00
1.020000000000000000e+02	7.699633344317753370e+00	7.606929302215576172e+00
1.360000000000000000e+02	6.834092426291077160e+00	6.813704490661621094e+00
1.700000000000000000e+02	6.264776116447372978e+00	6.276663780212402344e+00
2.040000000000000000e+02	5.856819467408829638e+00	5.990891456604003906e+00
2.380000000000000000e+02	5.547551760524265241e+00	5.711785316467285156e+00
2.720000000000000000e+02	5.303546599499677328e+00	5.565813541412353516e+00
3.060000000000000000e+02	5.105204475815867227e+00	5.390853881835937500e+00
3.400000000000000000e+02	4.940207269038602078e+00	5.276960849761962891e+00
3.740000000000000000e+02	4.800390248677434357e+00	5.173547744750976562e+00
4.080000000000000000e+02	4.680108848939918964e+00	4.997056007385253906e+00
4.420000000000000000e+02	4.575324975040418352e+00	4.969189167022705078e+00
4.760000000000000000e+02	4.483066705117678907e+00	4.819361209869384766e+00
5.100000000000000000e+02	4.401093893129841561e+00	4.806814670562744141e+00
5.440000000000000000e+02	4.327683152149019108e+00	4.678456783294677734e+00
5.770000000000000000e+02	4.263339710292346041e+00	4.585314750671386719e+00
6.110000000000000000e+02	4.203113820644944099e+00	4.589252471923828125e+00
6.450000000000000000e+02	4.148185523045359702e+00	4.564142704010009766e+00
6.790000000000000000e+02	4.097845049415165697e+00	4.520690441131591797e+00
7.130000000000000000e+02	4.051507254293394311e+00	4.449930191040039062e+00
7.470000000000000000e+02	4.008685023336314934e+00	4.395155429840087891e+00
7.810000000000000000e+02	3.968969272821067928e+00	4.324084758758544922e+00
8.150000000000000000e+02	3.932013698273717051e+00	4.256010055541992188e+00
8.490000000000000000e+02	3.897522998565953856e+00	4.178940773010253906e+00
8.830000000000000000e+02	3.865243679521752185e+00	4.060535907745361328e+00
9.170000000000000000e+02	3.834956796855322203e+00	3.931954383850097656e+00
9.510000000000000000e+02	3.806472174448161994e+00	3.928416490554809570e+00
9.850000000000000000e+02	3.779623757237322579e+00	3.858765602111816406e+00
1.019000000000000000e+03	3.754265845468070850e+00	3.778629779815673828e+00
1.053000000000000000e+03	3.730270019974054385e+00	3.881083726882934570e+00
1.087000000000000000e+03	3.707522613943917023e+00	3.769297361373901367e+00
1.121000000000000000e+03	3.685922620350431167e+00	3.715447425842285156e+00
1.154000000000000000e+03	3.665969830909063809e+00	3.828358650207519531e+00
1.188000000000000000e+03	3.646376194947398286e+00	3.604669332504272461e+00
1.222000000000000000e+03	3.627688867446323684e+00	3.613615274429321289e+00
1.256000000000000000e+03	3.609842434357187102e+00	3.733350038528442383e+00
1.290000000000000000e+03	3.592777808924024541e+00	3.655573606491088867e+00
1.324000000000000000e+03	3.576441472329441318e+00	3.584630012512207031e+00
1.358000000000000000e+03	3.560784822266442440e+00	3.515809297561645508e+00
1.392000000000000000e+03	3.545763611826894923e+00	3.642810821533203125e+00
1.426000000000000000e+03	3.531337464323112130e+00	3.587373018264770508e+00
1.460000000000000000e+03	3.517469452232350413e+00	3.510124921798706055e+00
1.494000000000000000e+03	3.504125730518665716e+00	3.520601749420166016e+00
1.528000000000000000e+03	3.491275216252263558e+00	3.566858053207397461e+00
1.562000000000000000e+03	3.478889307797289554e+00	3.557209968566894531e+00
1.596000000000000000e+03	3.466941637939955356e+00	3.442941427230834961e+00
1.630000000000000000e+03	3.455407856230443553e+00	3.476692676544189453e+00
1.664000000000000000e+03	3.444265436553634263e+00	3.407443761825561523e+00
1.697000000000000000e+03	3.433805224926909094e+00	3.395463705062866211e+00
1.731000000000000000e+03	3.423374350748984440e+00	3.445503473281860352e+00
1.765000000000000000e+03	3.413277104211200452e+00	3.385501384735107422e+00
1.799000000000000000e+03	3.403496693820616592e+00	3.443089723587036133e+00
1.833000000000000000e+03	3.394017469795004516e+00	3.351485252380371094e+00
1.867000000000000000e+03	3.384824827003692249e+00	3.405205965042114258e+00
1.901000000000000000e+03	3.375905117752207918e+00	3.361652612686157227e+00
1.935000000000000000e+03	3.367245573256519187e+00	3.333552837371826172e+00
1.969000000000000000e+03	3.358834232805653741e+00	3.370940208435058594e+00
2.003000000000000000e+03	3.350659879741894276e+00	3.411647796630859375e+00
2.037000000000000000e+03	3.342711983499322415e+00	3.374311447143554688e+00
2.071000000000000000e+03	3.334980647037114831e+00	3.250006914138793945e+00
2.105000000000000000e+03	3.327456559086263699e+00	3.353567838668823242e+00
2.139000000000000000e+03	3.320130950699292871e+00	3.209638833999633789e+00
2.173000000000000000e+03	3.312995555653831303e+00	3.276658773422241211e+00
2.207000000000000000e+03	3.306042574313990734e+00	3.261216402053833008e+00
2.241000000000000000e+03	3.299264640599604004e+00	3.333626747131347656e+00
2.274000000000000000e+03	3.292846862564739574e+00	3.261104106903076172e+00
2.308000000000000000e+03	3.286393852189347431e+00	3.259227037429809570e+00
2.342000000000000000e+03	3.280096281243459089e+00	3.255315780639648438e+00
2.376000000000000000e+03	3.273948230283970418e+00	3.195209741592407227e+00
2.410000000000000000e+03	3.267944085788069941e+00	3.288720369338989258e+00
2.444000000000000000e+03	3.262078520298949957e+00	3.196825027465820312e+00
2.478000000000000000e+03	3.256346474115312972e+00	3.217634201049804688e+00
2.512000000000000000e+03	3.250743138385331577e+00	3.281255245208740234e+00
2.546000000000000000e+03	3.245263939479982707e+00	3.282476663589477539e+00
2.580000000000000000e+03	3.239904524533324004e+00	3.261046648025512695e+00
2.614000000000000000e+03	3.234660748048496348e+00	3.191487073898315430e+00
2.648000000000000000e+03	3.229528659478211772e+00	3.161699056625366211e+00
2.682000000000000000e+03	3.224504491697340214e+00	3.209888219833374023e+00
2.716000000000000000e+03	3.219584650293144890e+00	3.145125150680541992e+00
2.750000000000000000e+03	3.214765703605748648e+00	3.260760784149169922e+00
2.784000000000000000e+03	3.210044373457744626e+00	3.214830160140991211e+00
2.818000000000000000e+03	3.205417526517517768e+00	3.161399364471435547e+00
2.851000000000000000e+03	3.201014280557278546e+00	3.141171693801879883e+00
2.885000000000000000e+03	3.196564973001560173e+00	3.148199319839477539e+00
2.919000000000000000e+03	3.192201618898971027e+00	3.115773200988769531e+00
2.953000000000000000e+03	3.187921585624688525e+00	3.151981830596923828e+00
2.987000000000000000e+03	3.183722350283747282e+00	3.143009662628173828e+00
3.021000000000000000e+03	3.179601493951984104e+00	3.197440624237060547e+00
3.055000000000000000e+03	3.175556696280066316e+00	3.229918479919433594e+00
3.089000000000000000e+03	3.171585730433966965e+00	3.162335634231567383e+00
3.123000000000000000e+03	3.167686458347469092e+00	3.104934215545654297e+00
3.157000000000000000e+03	3.163856826264293876e+00	3.155576229095458984e+00
3.191000000000000000e+03	3.160094860549288676e+00	3.113897085189819336e+00
3.225000000000000000e+03	3.156398663749757194e+00	3.065142631530761719e+00
3.259000000000000000e+03	3.152766410889543458e+00	3.123791694641113281e+00
3.293000000000000000e+03	3.149196345979847322e+00	3.145076274871826172e+00
3.327000000000000000e+03	3.145686778732009969e+00	3.205464601516723633e+00
3.361000000000000000e+03	3.142236081458646524e+00	3.117580652236938477e+00
3.394000000000000000e+03	3.138941688304504041e+00	3.168401002883911133e+00
3.428000000000000000e+03	3.135602464016685076e+00	3.092102527618408203e+00
3.462000000000000000e+03	3.132317615922555198e+00	3.063020467758178711e+00
3.496000000000000000e+03	3.129085737606454920e+00	3.104933500289916992e+00
3.530000000000000000e+03	3.125905472243303063e+00	3.097495079040527344e+00
3.564000000000000000e+03	3.122775510392980181e+00	3.086672067642211914e+00
3.598000000000000000e+03	3.119694587912756667e+00	3.069447994232177734e+00
3.632000000000000000e+03	3.116661483980392333e+00	3.130340576171875000e+00
3.666000000000000000e+03	3.113675019221074702e+00	3.028589248657226562e+00
3.700000000000000000e+03	3.110734053931830889e+00	3.041457414627075195e+00
3.734000000000000000e+03	3.107837486397503568e+00	3.077227830886840820e+00
3.768000000000000000e+03	3.104984251292776776e+00	3.064138174057006836e+00
3.802000000000000000e+03	3.102173318165134308e+00	3.077018022537231445e+00
