step	pred	loss
1.000000000000000000e+00	6.989940618236194325e+01	1.040222263336181641e+01
3.400000000000000000e+01	1.292299980755313626e+01	9.605322837829589844e+00
6.800000000000000000e+01	9.223967568242388282e+00	8.616821289062500000e+00
1.020000000000000000e+02	7.699654998570330200e+00	7.597434043884277344e+00
1.360000000000000000e+02	6.834123971577866996e+00	6.801160812377929688e+00
1.700000000000000000e+02	6.264818247000042639e+00	6.271959781646728516e+00
2.040000000000000000e+02	5.856872731017226386e+00	5.982213497161865234e+00
2.380000000000000000e+02	5.547616600263233444e+00	5.707977294921875000e+00
2.720000000000000000e+02	5.303623379067505361e+00	5.555945396423339844e+00
3.060000000000000000e+02	5.105293496240644657e+00	5.381940364837646484e+00
3.400000000000000000e+02	4.940308780355384677e+00	5.271929264068603516e+00
3.740000000000000000e+02	4.800504458455148615e+00	5.174276828765869141e+00
4.080000000000000000e+02	4.680235928723755379e+00	4.997952938079833984e+00
4.420000000000000000e+02	4.575465065354221039e+00	4.959475517272949219e+00
4.760000000000000000e+02	4.483219919436356449e+00	4.811219215393066406e+00
5.100000000000000000e+02	4.401260321093616312e+00	4.807545185089111328e+00
5.440000000000000000e+02	4.327862862205964056e+00	4.676235198974609375e+00
5.770000000000000000e+02	4.263532359255172821e+00	4.587353706359863281e+00
6.110000000000000000e+02	4.203319832764179864e+00	4.597203254699707031e+00
6.450000000000000000e+02	4.148404915535816251e+00	4.570203304290771484e+00
6.790000000000000000e+02	4.098077825267846919e+00	4.525160312652587891e+00
7.130000000000000000e+02	4.051753403461735736e+00	4.452045917510986328e+00
7.470000000000000000e+02	4.008944523772495216e+00	4.385538101196289062e+00
7.810000000000000000e+02	3.969242091387430893e+00	4.304710865020751953e+00
8.150000000000000000e+02	3.932299791549236367e+00	4.241284847259521484e+00
8.490000000000000000e+02	3.897822313563780838e+00	4.147460937500000000e+00
8.830000000000000000e+02	3.865556154330891836e+00	4.052520751953125000e+00
9.170000000000000000e+02	3.835282361217138281e+00	3.934913158416748047e+00
9.510000000000000000e+02	3.806810750276548028e+00	3.910918712615966797e+00
9.850000000000000000e+02	3.779975259089924933e+00	3.858195066452026367e+00
1.019000000000000000e+03	3.754630180974723341e+00	3.784812211990356445e+00
1.053000000000000000e+03	3.730647090227669160e+00	3.877022743225097656e+00
1.087000000000000000e+03	3.707912313858249487e+00	3.760487079620361328e+00
1.120000000000000000e+03	3.686944257707014394e+00	3.700625658035278320e+00
1.154000000000000000e+03	3.666384088726511337e+00	3.819203376770019531e+00
1.188000000000000000e+03	3.646802736902367226e+00	3.600077867507934570e+00
1.222000000000000000e+03	3.628127566916982349e+00	3.606071472167968750e+00
