step,lr,loss
1,0.001,10.402223587036133
34,0.001,9.60531997680664
68,0.001,8.616765022277832
102,0.001,7.606929302215576
136,0.001,6.813704490661621
170,0.001,6.276663780212402
204,0.001,5.990891456604004
238,0.001,5.711785316467285
272,0.001,5.5658135414123535
306,0.001,5.3908538818359375
340,0.001,5.276960849761963
374,0.001,5.173547744750977
408,0.001,4.997056007385254
442,0.001,4.969189167022705
476,0.001,4.819361209869385
510,0.001,4.806814670562744
544,0.001,4.678456783294678
577,0.001,4.585314750671387
611,0.001,4.589252471923828
645,0.001,4.56414270401001
679,0.001,4.520690441131592
713,0.001,4.449930191040039
747,0.001,4.395155429840088
781,0.001,4.324084758758545
815,0.001,4.256010055541992
849,0.001,4.178940773010254
883,0.001,4.060535907745361
917,0.001,3.9319543838500977
951,0.001,3.9284164905548096
985,0.001,3.8587656021118164
1019,0.001,3.778629779815674
1053,0.001,3.8810837268829346
1087,0.001,3.7692973613739014
1121,0.001,3.715447425842285
1154,0.001,3.8283586502075195
1188,0.001,3.6046693325042725
1222,0.001,3.6136152744293213
1256,0.001,3.7333500385284424
1290,0.001,3.655573606491089
1324,0.001,3.584630012512207
1358,0.001,3.5158092975616455
1392,0.001,3.642810821533203
1426,0.001,3.5873730182647705
1460,0.001,3.510124921798706
1494,0.001,3.520601749420166
1528,0.001,3.5668580532073975
1562,0.001,3.5572099685668945
1596,0.001,3.442941427230835
1630,0.001,3.4766926765441895
1664,0.001,3.4074437618255615
1697,0.001,3.395463705062866
1731,0.001,3.4455034732818604
1765,0.001,3.3855013847351074
1799,0.001,3.443089723587036
1833,0.001,3.351485252380371
1867,0.001,3.4052059650421143
1901,0.001,3.3616526126861572
1935,0.001,3.333552837371826
1969,0.001,3.3709402084350586
2003,0.001,3.4116477966308594
2037,0.001,3.3743114471435547
2071,0.001,3.250006914138794
2105,0.001,3.3535678386688232
2139,0.001,3.209638833999634
2173,0.001,3.276658773422241
2207,0.001,3.261216402053833
2241,0.001,3.3336267471313477
2274,0.001,3.261104106903076
2308,0.001,3.2592270374298096
2342,0.001,3.2553157806396484
2376,0.001,3.1952097415924072
2410,0.001,3.2887203693389893
2444,0.001,3.1968250274658203
2478,0.001,3.2176342010498047
2512,0.001,3.2812552452087402
2546,0.001,3.2824766635894775
2580,0.001,3.2610466480255127
2614,0.001,3.1914870738983154
2648,0.001,3.161699056625366
2682,0.001,3.209888219833374
2716,0.001,3.145125150680542
2750,0.001,3.26076078414917
2784,0.001,3.214830160140991
2818,0.001,3.1613993644714355
2851,0.001,3.14117169380188
2885,0.001,3.1481993198394775
2919,0.001,3.1157732009887695
2953,0.001,3.151981830596924
2987,0.001,3.143009662628174
3021,0.001,3.1974406242370605
3055,0.001,3.2299184799194336
3089,0.001,3.1623356342315674
3123,0.001,3.1049342155456543
3157,0.001,3.155576229095459
3191,0.001,3.1138970851898193
3225,0.001,3.0651426315307617
3259,0.001,3.1237916946411133
3293,0.001,3.145076274871826
3327,0.001,3.2054646015167236
3361,0.001,3.1175806522369385
3394,0.001,3.168401002883911
3428,0.001,3.092102527618408
3462,0.001,3.0630204677581787
3496,0.001,3.104933500289917
3530,0.001,3.0974950790405273
3564,0.001,3.086672067642212
3598,0.001,3.0694479942321777
3632,0.001,3.130340576171875
3666,0.001,3.0285892486572266
3700,0.001,3.041457414627075
3734,0.001,3.077227830886841
3768,0.001,3.064138174057007
3802,0.001,3.0770180225372314
3836,0.001,3.0676233768463135
3870,0.001,3.0890798568725586
3904,0.001,3.0958597660064697
3938,0.001,3.0963683128356934
