step,lr,loss
0,0.001,10.40317153930664
1,0.001,10.402223587036133
2,0.001,10.400403022766113
3,0.001,10.393157958984375
4,0.001,10.37192153930664
5,0.001,10.361729621887207
6,0.001,10.28675365447998
7,0.001,10.263995170593262
8,0.001,10.160863876342773
9,0.001,10.13260555267334
10,0.001,10.11297607421875
11,0.001,10.061158180236816
12,0.001,10.028687477111816
13,0.001,10.003689765930176
14,0.001,9.965758323669434
15,0.001,9.946663856506348
16,0.001,9.927355766296387
17,0.001,9.912758827209473
18,0.001,9.882298469543457
19,0.001,9.88778018951416
20,0.001,9.8632173538208
21,0.001,9.8563814163208
22,0.001,9.832422256469727
23,0.001,9.81246566772461
24,0.001,9.790443420410156
25,0.001,9.779816627502441
26,0.001,9.768317222595215
27,0.001,9.75485897064209
28,0.001,9.732528686523438
29,0.001,9.705011367797852
30,0.001,9.711996078491211
31,0.001,9.671167373657227
32,0.001,9.652528762817383
33,0.001,9.631784439086914
34,0.001,9.60532283782959
35,0.001,9.56663703918457
36,0.001,9.564323425292969
37,0.001,9.552477836608887
38,0.001,9.505256652832031
39,0.001,9.467509269714355
40,0.001,9.452203750610352
41,0.001,9.438761711120605
42,0.001,9.414993286132812
43,0.001,9.396865844726562
44,0.001,9.3444185256958
45,0.001,9.328703880310059
46,0.001,9.294265747070312
47,0.001,9.269994735717773
48,0.001,9.230575561523438
49,0.001,9.208879470825195
50,0.001,9.16039752960205
51,0.001,9.136942863464355
52,0.001,9.116168022155762
53,0.001,9.102566719055176
54,0.001,9.068906784057617
55,0.001,9.036334991455078
56,0.001,8.990457534790039
57,0.001,8.969107627868652
58,0.001,8.92427921295166
59,0.001,8.919516563415527
60,0.001,8.876837730407715
61,0.001,8.84090805053711
62,0.001,8.834633827209473
63,0.001,8.786371231079102
64,0.001,8.761445999145508
65,0.001,8.727749824523926
66,0.001,8.686720848083496
67,0.001,8.641840934753418
68,0.001,8.616806030273438
69,0.001,8.615673065185547
70,0.001,8.560242652893066
71,0.001,8.536638259887695
72,0.001,8.492813110351562
73,0.001,8.467124938964844
74,0.001,8.420967102050781
75,0.001,8.418107986450195
76,0.001,8.371221542358398
